first name,last name,Category,Sub-Category,Suber-catogory,,,
,"Eagle, crowned",animals,,,,,
,"Eagle, golden",animals,,,,,
,"Eagle, long-crested hawk",animals,,,,,
,"Eagle, pallas's fish",animals,,,,,
,"Eagle, tawny",animals,,,,,
,"Eagle, white-bellied sea",animals,,,,,
,Eastern boa constrictor,animals,,,,,
,Eastern box turtle,animals,,,,,
,Eastern cottontail rabbit,animals,,,,,
,Eastern diamondback rattlesnake,animals,,,,,
,Eastern dwarf mongoose,animals,,,,,
,Eastern fox squirrel,animals,,,,,
,Eastern grey kangaroo,animals,,,,,
,Eastern indigo snake,animals,,,,,
,Eastern quoll,animals,,,,,
,Eastern white pelican,animals,,,,,
,"Echidna, short-beaked",animals,,,,,
,"Egret, cattle",animals,,,,,
,"Egret, great",animals,,,,,
,"Egret, snowy",animals,,,,,
,Egyptian cobra,animals,,,,,
,Egyptian goose,animals,,,,,
,Egyptian viper,animals,,,,,
,Egyptian vulture,animals,,,,,
,"Eland, common",animals,,,,,
,Elegant crested tinamou,animals,,,,,
,"Elephant, african",animals,,,,,
,"Elephant, asian",animals,,,,,
,Eleven-banded armadillo (unidentified),animals,,,,,
,"Elk, Wapiti",animals,,,,,
,Emerald green tree boa,animals,,,,,
,Emerald-spotted wood dove,animals,,,,,
,Emu,animals,,,,,
,Eurasian badger,animals,,,,,
,Eurasian beaver,animals,,,,,
,Eurasian hoopoe,animals,,,,,
,Eurasian red squirrel,animals,,,,,
,Euro wallaby,animals,,,,,
,European badger,animals,,,,,
,European beaver,animals,,,,,
,European red squirrel,animals,,,,,
,European shelduck,animals,,,,,
,European spoonbill,animals,,,,,
,European stork,animals,,,,,
,European wild cat,animals,,,,,
,Fairy penguin,animals,,,,,
,"Falcon, peregrine",animals,,,,,
,"Falcon, prairie",animals,,,,,
,Fat-tailed dunnart,animals,,,,,
,Feathertail glider,animals,,,,,
,Feral rock pigeon,animals,,,,,
,"Ferret, black-footed",animals,,,,,
,Ferruginous hawk,animals,,,,,
,Field flicker,animals,,,,,
,"Finch, common melba",animals,,,,,
,Fisher,animals,,,,,
,"Flamingo, chilean",animals,,,,,
,"Flamingo, greater",animals,,,,,
,"Flamingo, lesser",animals,,,,,
,"Flamingo, roseat",animals,,,,,
,"Flicker, campo",animals,,,,,
,"Flicker, field",animals,,,,,
,Flightless cormorant,animals,,,,,
,"Flycatcher, tyrant",animals,,,,,
,Flying fox (unidentified),animals,,,,,
,Fork-tailed drongo,animals,,,,,
,Four-horned antelope,animals,,,,,
,Four-spotted skimmer,animals,,,,,
,Four-striped grass mouse,animals,,,,,
,"Fowl, helmeted guinea",animals,,,,,
,"Fox, arctic",animals,,,,,
,"Fox, asian red",animals,,,,,
,"Fox, bat-eared",animals,,,,,
,"Fox, blue",animals,,,,,
,"Fox, cape",animals,,,,,
,"Fox, crab-eating",animals,,,,,
,"Fox, grey",animals,,,,,
,"Fox, north american red",animals,,,,,
,"Fox, pampa gray",animals,,,,,
,"Fox, savanna",animals,,,,,
,"Fox, silver-backed",animals,,,,,
,"Francolin, coqui",animals,,,,,
,"Francolin, swainson's",animals,,,,,
,Frilled dragon,animals,,,,,
,Frilled lizard,animals,,,,,
,Fringe-eared oryx,animals,,,,,
,Frog (unidentified),animals,,,,,
,"Frogmouth, tawny",animals,,,,,
,Galah,animals,,,,,
,Galapagos albatross,animals,,,,,
,Galapagos dove,animals,,,,,
,Galapagos hawk,animals,,,,,
,Galapagos mockingbird,animals,,,,,
,Galapagos penguin,animals,,,,,
,Galapagos sea lion,animals,,,,,
,Galapagos tortoise,animals,,,,,
,Gambel's quail,animals,,,,,
,Gaur,animals,,,,,
,"Gazelle, grant's",animals,,,,,
,"Gazelle, thomson's",animals,,,,,
,"Gazer, sun",animals,,,,,
,Gecko (unidentified),animals,,,,,
,"Gecko, barking",animals,,,,,
,"Gecko, bent-toed",animals,,,,,
,"Gecko, ring-tailed",animals,,,,,
,"Gecko, tokay",animals,,,,,
,Gelada baboon,animals,,,,,
,Gemsbok,animals,,,,,
,"Genet, common",animals,,,,,
,"Genet, small-spotted",animals,,,,,
,Genoveva,animals,,,,,
,Gerbil (unidentified),animals,,,,,
,Gerenuk,animals,,,,,
,Giant anteater,animals,,,,,
,Giant armadillo,animals,,,,,
,Giant girdled lizard,animals,,,,,
,Giant heron,animals,,,,,
,Giant otter,animals,,,,,
,Gila monster,animals,,,,,
,Giraffe,animals,,,,,
,"Glider, feathertail",animals,,,,,
,"Glider, squirrel",animals,,,,,
,"Glider, sugar",animals,,,,,
,Glossy ibis,animals,,,,,
,Glossy starling (unidentified),animals,,,,,
,"Gnu, brindled",animals,,,,,
,Goanna lizard,animals,,,,,
,"Goat, mountain",animals,,,,,
,"Godwit, hudsonian",animals,,,,,
,Golden brush-tailed possum,animals,,,,,
,Golden eagle,animals,,,,,
,Golden jackal,animals,,,,,
,Golden-mantled ground squirrel,animals,,,,,
,"Goldeneye, barrows",animals,,,,,
,"Goldeneye, common",animals,,,,,
,Goliath heron,animals,,,,,
,"Gonolek, burchell's",animals,,,,,
,"Goose, andean",animals,,,,,
,"Goose, canada",animals,,,,,
,"Goose, cape barren",animals,,,,,
,"Goose, cereopsis",animals,,,,,
,"Goose, egyptian",animals,,,,,
,"Goose, greylag",animals,,,,,
,"Goose, knob-nosed",animals,,,,,
,"Goose, snow",animals,,,,,
,"Goose, spur-winged",animals,,,,,
,"Gorilla, western lowland",animals,,,,,
,Grant's gazelle,animals,,,,,
,Gray duiker,animals,,,,,
,Gray heron,animals,,,,,
,Gray langur,animals,,,,,
,Gray rhea,animals,,,,,
,Great cormorant,animals,,,,,
,Great egret,animals,,,,,
,Great horned owl,animals,,,,,
,Great kiskadee,animals,,,,,
,Great skua,animals,,,,,
,Great white pelican,animals,,,,,
,Greater adjutant stork,animals,,,,,
,Greater blue-eared starling,animals,,,,,
,Greater flamingo,animals,,,,,
,Greater kudu,animals,,,,,
,Greater rhea,animals,,,,,
,Greater roadrunner,animals,,,,,
,Greater sage grouse,animals,,,,,
,"Grebe, little",animals,,,,,
,Green heron,animals,,,,,
,Green vine snake,animals,,,,,
,Green-backed heron,animals,,,,,
,Green-winged macaw,animals,,,,,
,Green-winged trumpeter,animals,,,,,
,"Grenadier, common",animals,,,,,
,"Grenadier, purple",animals,,,,,
,Grey fox,animals,,,,,
,Grey heron,animals,,,,,
,Grey lourie,animals,,,,,
,Grey mouse lemur,animals,,,,,
,Grey phalarope,animals,,,,,
,Grey-footed squirrel,animals,,,,,
,Greylag goose,animals,,,,,
,Griffon vulture,animals,,,,,
,Grison,animals,,,,,
,Grizzly bear,animals,,,,,
,Ground legaan,animals,,,,,
,Ground monitor (unidentified),animals,,,,,
,Groundhog,animals,,,,,
,"Grouse, greater sage",animals,,,,,
,"Grouse, sage",animals,,,,,
,Guanaco,animals,,,,,
,Guerza,animals,,,,,
,"Gull, dusky",animals,,,,,
,"Gull, herring",animals,,,,,
,"Gull, kelp",animals,,,,,
,"Gull, lava",animals,,,,,
,"Gull, pacific",animals,,,,,
,"Gull, silver",animals,,,,,
,"Gull, southern black-backed",animals,,,,,
,"Gull, swallow-tail",animals,,,,,
,Gulls (unidentified),animals,,,,,
,Hanuman langur,animals,,,,,
,Harbor seal,animals,,,,,
,"Hare, arctic",animals,,,,,
,"Hartebeest, coke's",animals,,,,,
,"Hartebeest, red",animals,,,,,
,"Hawk, ferruginous",animals,,,,,
,"Hawk, galapagos",animals,,,,,
,"Hawk, red-tailed",animals,,,,,
,"Hawk-eagle, crowned",animals,,,,,
,Hawk-headed parrot,animals,,,,,
,"Hedgehog, south african",animals,,,,,
,Helmeted guinea fowl,animals,,,,,
,"Hen, sage",animals,,,,,
,"Heron, black-crowned night",animals,,,,,
,"Heron, boat-billed",animals,,,,,
,"Heron, giant",animals,,,,,
,"Heron, goliath",animals,,,,,
,"Heron, gray",animals,,,,,
,"Heron, green",animals,,,,,
,"Heron, green-backed",animals,,,,,
,"Heron, grey",animals,,,,,
,"Heron, little",animals,,,,,
,"Heron, striated",animals,,,,,
,"Heron, yellow-crowned night",animals,,,,,
,Herring gull,animals,,,,,
,Hippopotamus,animals,,,,,
,Hoary marmot,animals,,,,,
